Viscosidad,Salinidad,Tiempo,inyeccion,recupera
0,0,1,1,0.6663
0,0,1,2,0.65359999999999996
0,0,2,1,0.67520000000000002
0,0,2,2,0.68140000000000001
0,0,3,1,0.69240000000000002
0,0,3,2,0.7319
0,1,1,1,0.70909999999999995
0,1,1,2,0.71360000000000001
0,1,2,1,0.72509999999999997
0,1,2,2,0.72350000000000003
0,1,3,1,0.77900000000000003
0,1,3,2,0.7429
0,2,1,1,0.59640000000000004
0,2,1,2,0.58430000000000004
0,2,2,1,0.74209999999999998
0,2,2,2,0.75849999999999995
0,2,3,1,0.82310000000000005
0,2,3,2,0.81440000000000001
1,0,1,1,0.79410000000000003
1,0,1,2,0.41310000000000002
1,0,2,1,0.44919999999999999
1,0,2,2,0.46250000000000002
1,0,3,1,0.43580000000000002
1,0,3,2,0.66469999999999996
1,1,1,1,0.4824
1,1,1,2,0.50770000000000004
1,1,2,1,0.67349999999999999
1,1,2,2,0.40079999999999999
1,1,3,1,0.61619999999999997
1,1,3,2,0.60670000000000002
1,2,1,1,0.626
1,2,1,2,0.49349999999999999
1,2,2,1,0.8115
1,2,2,2,0.6946
1,2,3,1,0.56830000000000003
1,2,3,2,0.78569999999999995
2,0,1,1,0.38019999999999998
2,0,1,2,0.31190000000000001
2,0,2,1,0.31669999999999998
2,0,2,2,0.44890000000000002
2,0,3,1,0.53959999999999997
2,0,3,2,0.5806
2,1,1,1,0.35620000000000002
2,1,1,2,0.40239999999999998
2,1,2,1,0.45329999999999998
2,1,2,2,0.45590000000000003
2,1,3,1,0.46350000000000002
2,1,3,2,0.48299999999999998
2,2,1,1,0.52429999999999999
2,2,1,2,0.55320000000000003
2,2,2,1,0.58040000000000003
2,2,2,2,0.65610000000000002
2,2,3,1,0.54069999999999996
2,2,3,2,0.53839999999999999
