Relacion,Catalizador,Temperatura,Agente,Rendimiento
-1,-1,-1,-1,69.5
1,-1,-1,-1,81.900000000000006
-1,1,-1,-1,88
-1,-1,1,-1,83.2
-1,-1,-1,1,80.5
1,1,-1,-1,70.400000000000006
1,-1,1,-1,73.400000000000006
1,-1,-1,1,80.900000000000006
-1,1,1,-1,79.599999999999994
-1,1,-1,1,83.1
-1,-1,1,1,81.2
1,1,1,-1,85.1
1,1,-1,1,75.2
1,-1,1,1,80.900000000000006
-1,1,1,1,75.2
1,1,1,1,87.6
-1,-1,-1,-1,77.5
1,-1,-1,-1,74.099999999999994
-1,1,-1,-1,95.3
-1,-1,1,-1,82.7
-1,-1,-1,1,79.900000000000006
1,1,-1,-1,63
1,-1,1,-1,82.2
1,-1,-1,1,78.5
-1,1,1,-1,86.9
-1,1,-1,1,73.8
-1,-1,1,1,81.599999999999994
1,1,1,-1,83.5
1,1,-1,1,65.3
1,-1,1,1,90.8
-1,1,1,1,76.5
1,1,1,1,89.8
