Velocidad,angulo,energia
4.5,60,2.3E-2
3.4,60,3.5000000000000003E-2
2.2999999999999998,60,4.4999999999999998E-2
4.5,40,4.1000000000000002E-2
3.4,40,5.3999999999999999E-2
2.2999999999999998,40,0.03
4.5,20,8.5999999999999993E-2
3.4,20,8.7999999999999995E-2
2.2999999999999998,20,4.8000000000000001E-2
4.5,60,3.4000000000000002E-2
3.4,60,3.5000000000000003E-2
2.2999999999999998,60,4.2000000000000003E-2
4.5,40,3.9E-2
3.4,40,4.7E-2
2.2999999999999998,40,4.1000000000000002E-2
4.5,20,0.11
3.4,20,9.7000000000000003E-2
2.2999999999999998,20,6.7000000000000004E-2
4.5,60,2.4E-2
3.4,60,2.1999999999999999E-2
2.2999999999999998,60,2.8000000000000001E-2
4.5,40,4.2999999999999997E-2
3.4,40,5.1999999999999998E-2
2.2999999999999998,40,3.6999999999999998E-2
4.5,20,7.8E-2
3.4,20,0.108
2.2999999999999998,20,0.10299999999999999
4.5,60,2.8000000000000001E-2
3.4,60,4.2999999999999997E-2
2.2999999999999998,60,2.1999999999999999E-2
4.5,40,5.5E-2
3.4,40,3.4000000000000002E-2
2.2999999999999998,40,3.5999999999999997E-2
4.5,20,6.7000000000000004E-2
3.4,20,7.6999999999999999E-2
2.2999999999999998,20,9.7000000000000003E-2
