probiotico,Acuario,Peso Inicial,Peso 45
1,1,8.9,21.1
1,1,8.5,17
1,1,8.1,17.5
1,1,9.1,22.8
1,1,9.3000000000000007,18.2
1,2,9,16.5
1,2,8.4,26
1,2,8.6999999999999993,18.100000000000001
1,2,8.6,23.5
1,2,9.4,25.2
1,3,9,22.1
1,3,8.1999999999999993,28.2
1,3,9.3000000000000007,25.3
1,3,9.4,27.6
1,3,8.6
1,4,8,21.4
1,4,8,23.8
1,4,9.4,24.7
1,4,9.6,18.8
1,4,9
1,5,9.1999999999999993,18
1,5,8.1999999999999993,21.5
1,5,8,14.6
1,5,9.5,18.2
1,5,9
2,6,9.4,17.600000000000001
2,6,8.1999999999999993,20
2,6,9.1,17.600000000000001
2,6,9.6999999999999993,22.2
2,6,9.5,20.8
2,7,8.6999999999999993,20.2
2,7,8.6999999999999993,29.2
2,7,8.1999999999999993,27
2,7,8.5,22.5
2,7,10,22.9
2,8,9.5,25.9
2,8,8.1,27.4
2,8,8.5,25.8
2,8,9.3000000000000007,30
2,8,9.1999999999999993,16.399999999999999
2,9,8.6999999999999993,24.7
2,9,7.8,25
2,9,8.1,14.1
2,9,9.5,26.3
2,9,9.1999999999999993,24.8
2,10,8.5,24.3
2,10,9.1999999999999993,18.8
2,10,8,22.1
2,10,9,23.5
2,10,9,19.3
3,11,9.5,32.700000000000003
3,11,8.5,22.6
3,11,8.6999999999999993,24.7
3,11,9.3000000000000007,23.2
3,11,8.5,30.7
3,12,8.3000000000000007,26.5
3,12,9,32.6
3,12,8.1,34.200000000000003
3,12,9,25
3,12,9.1999999999999993,35
3,13,9.4,25.1
3,13,9,28.8
3,13,9.1999999999999993,31
3,13,8.4,35.5
3,13,7.9,27
3,14,9.6,36
3,14,9.5,34.200000000000003
3,14,9.5,25.2
3,14,8.6999999999999993,33.9
3,14,8.3000000000000007,36.4
3,15,9.3000000000000007,27.3
3,15,8,23.2
3,15,7.9,26.3
3,15,9.1,24.6
3,15,9.1,28.6
4,16,8.6,29.5
4,16,8.1999999999999993,39.5
4,16,8.6999999999999993,35.5
4,16,9.6,28.5
4,16,9.1999999999999993,29
4,17,9.1999999999999993,29.7
4,17,9.1,29.5
4,17,8.4,40.1
4,17,8.5,35.200000000000003
4,17,10,34.5
4,18,8.1999999999999993,36.5
4,18,9.4,24.9
4,18,8.8000000000000007,34
4,18,9.8000000000000007,24.5
4,18,9,34.9
4,19,8.5,30.4
4,19,8.1,29.5
4,19,9.4,22.6
4,19,9.3000000000000007,22.5
4,19,9.6,23.8
4,20,9.3000000000000007,40.4
4,20,8.1,42.7
4,20,9.5,32
4,20,8.1999999999999993,33.1
4,20,9,37.5
