riego,silicio,bloque,altura
0.5,0 ml,1,4.26
0.5,500 ml,1,4.91
0.5,1000 ml,1,4.3499999999999996
0.5,1500 ml,1,4.4400000000000004
1,0 ml,1,4.72
1,500 ml,1,5.22
1,1000 ml,1,4.62
1,1500 ml,1,5.25
0.5,0 ml,2,4.07
0.5,500 ml,2,5.21
0.5,1000 ml,2,4.95
0.5,1500 ml,2,4.55
1,0 ml,2,4.55
1,500 ml,2,4.6900000000000004
1,1000 ml,2,5.12
1,1500 ml,2,5.08
0.5,0 ml,3,4.4000000000000004
0.5,500 ml,3,5.17
0.5,1000 ml,3,4.6100000000000003
0.5,1500 ml,3,4.8
1,0 ml,3,4.2
1,500 ml,3,4.88
1,1000 ml,3,4.78
1,1500 ml,3,5.1100000000000003
